X,Y,altitud,pendiente,distancia_sitios_nuevos,distancia_mincul,presencia_sitio_nuevo,presencia_total_rec
343075.0,8566625.0,344.0,2.7739387,951.9716382329884,6340.051261622417,0,0
343075.0,8566875.0,351.0,10.235647,728.8689868556626,6562.869037242782,0,0
343075.0,8567125.0,395.0,23.916529,530.3300858899106,6787.580570424192,0,0
343075.0,8567375.0,359.0,14.325221,395.2847075210474,7014.003849442913,0,0
343075.0,8567625.0,316.0,7.4188256,395.2847075210474,7241.978320873379,0,0
343075.0,8567875.0,289.0,2.0682898,530.3300858899106,7471.361990962558,0,0
343075.0,8568125.0,281.0,1.3084424,728.8689868556626,7702.028953464145,0,0
343075.0,8568375.0,285.0,11.440344,951.9716382329884,7933.867278950411,0,0
343075.0,8568625.0,330.0,22.472963,1185.8541225631425,8166.777210136199,0,0
343075.0,8568875.0,302.0,5.3799167,1425.2192813739225,8400.669616167512,0,0
343075.0,8569125.0,348.0,25.510433,1667.7080080157916,8635.464666131174,0,0
343075.0,8569375.0,309.0,4.131203,1912.1323175972943,8871.090688297578,0,0
343075.0,8569625.0,359.0,22.239857,2157.8345627040085,9107.483186918327,0,0
343075.0,8569875.0,343.0,7.1893945,2404.4230077089182,9344.583992880582,0,0
343075.0,8570125.0,364.0,13.020411,2651.650429449553,9582.340528284309,0,0
343075.0,8570375.0,336.0,6.706001,2899.3533761858007,9820.705168163842,0,0
343075.0,8570625.0,341.0,2.7739387,3147.419578003543,10059.63468521596,0,0
343325.0,8553875.0,6.0,0.92528886,2814.471531211499,437.3213921133975,0,0
343325.0,8554125.0,5.0,0.92528886,2901.939006940015,375.8324094593227,0,0
343325.0,8554375.0,4.0,1.3084424,3007.698455630152,465.0268809434568,0,0
343325.0,8554625.0,7.0,0.92528886,3129.8961644118485,645.174395028197,0,0
343325.0,8554875.0,7.0,2.0682898,3266.6879251008963,860.9587678861283,0,0
343325.0,8555125.0,7.0,0.0,3416.3211207379204,1091.4439976471538,0,0
343325.0,8555375.0,9.0,2.0682898,3577.1846471771623,1151.6292806281022,0,0
343325.0,8555625.0,11.0,1.3084424,3747.8327070455,1061.2492638395563,0,0
343325.0,8555875.0,9.0,0.0,3926.989941418236,1025.304832720494,0,0
343325.0,8556125.0,10.0,1.8500954,4113.544700133937,1049.4045930907678,0,0
343325.0,8556375.0,9.0,0.0,4306.53573072371,1129.7123527695005,0,0
343325.0,8556625.0,9.0,0.92528886,4505.135957992833,1255.487952948972,0,0
343325.0,8556875.0,10.0,2.9237342,4708.635683507485,1414.6554350795109,0,0
343325.0,8557125.0,11.0,0.92528886,4916.4265478088855,1597.2632844963289,0,0
343325.0,8557375.0,10.0,0.0,5127.986934460734,1700.367607313195,0,0
343325.0,8557625.0,10.0,1.3084424,5070.689052514993,1546.3667094192117,0,0
343325.0,8557875.0,9.0,1.8500954,4941.654830853306,1419.9471821162929,0,0
343325.0,8558125.0,9.0,1.8500954,4822.138267127584,1329.003386000201,0,0
343325.0,8558375.0,7.0,0.92528886,4712.863510361469,1241.4709017935136,0,0
343325.0,8558625.0,6.0,1.3084424,4614.558209330232,1020.4165815979276,0,0
343325.0,8558875.0,7.0,0.92528886,4527.936888616873,816.2413858657254,0,0
343325.0,8559125.0,8.0,0.92528886,4453.681338768846,645.174395028197,0,0
343325.0,8559375.0,8.0,2.0682898,4392.418749083274,539.6758286230726,0,0
343325.0,8559625.0,29.0,11.440344,4344.698777510206,539.6758286230726,0,0
343325.0,8559875.0,93.0,11.116002,4310.971174491786,645.174395028197,0,0
343325.0,8560125.0,78.0,8.469256,4291.565852611317,816.2413858657254,0,0
343325.0,8560375.0,86.0,13.647268,4286.677322507481,1020.4165815979276,0,0
343325.0,8560625.0,39.0,9.741837,4296.355137474126,1241.4709017935136,0,0
343325.0,8560875.0,104.0,20.658592,4320.501413875561,1471.8186029535025,0,0
