x,y,lat,lon
351000.0,8551000.0,-13.103620477074713,-76.37446789227577
350500.0,8550200.0,-13.11082785392147,-76.37911954196288
352000.0,8550000.0,-13.11270954575289,-76.36529497901839
352300.0,8551500.0,-13.099164088676451,-76.36245343029312
352500.0,8550600.0,-13.107309899580759,-76.3606536003933
353000.0,8550700.0,-13.106430195964583,-76.35603717667762
353900.0,8550000.0,-13.11280182204926,-76.34777098455609
360700.0,8549600.0,-13.116738452512164,-76.28507122932018
350400.0,8547900.0,-13.131614899847895,-76.38015786329981
349300.0,8547500.0,-13.135176248058599,-76.39032433042021
376000.0,8568000.0,-12.951051740447967,-76.14318279104475
378400.0,8570300.0,-12.930353504425135,-76.12096678161913
374600.0,8566500.0,-12.96455615513816,-76.15615042464954
374100.0,8565700.0,-12.971768344876129,-76.16079314329438
374900.0,8565700.0,-12.971801137178058,-76.15341823016806
376200.0,8566700.0,-12.96281304482259,-76.14139273840124
375200.0,8563000.0,-12.996223792116067,-76.15076496833133
342700.0,8567500.0,-12.954044576565229,-76.4501469191068
365993.45,8554038.01,-13.076855471897872,-76.2360460937046
365356.33,8552331.15,-13.092258189252979,-76.2419990340047
359365.74,8548714.33,-13.124683475988151,-76.2974198372255
357854.05,8550009.78,-13.112901623556613,-76.3113012746176
354156.5,8551033.38,-13.103472294969745,-76.34535447051029
353367.27,8552366.14,-13.091385902067318,-76.35256764341841
353062.55,8551511.18,-13.099100082626634,-76.35542015298529
353129.18,8550712.57,-13.106322827719625,-76.35484513764023
352623.59,8550523.39,-13.108008475759352,-76.35951754024623
352744.1,8551532.13,-13.098895238489149,-76.3583560658987
352670.74,8551648.5,-13.09783967850435,-76.3590268678961
351638.66,8552645.17,-13.088779388963461,-76.36849555402613
352266.42,8551553.92,-13.098675011350691,-76.36276044499
352177.57,8550261.29,-13.110356142228389,-76.36364421550554
351828.96,8551480.76,-13.099315029648196,-76.36679861148495
351897.38,8551539.58,-13.098786637136904,-76.36616466803406
351880.58,8551585.8,-13.098367984598664,-76.3663173035367
351783.34,8550373.75,-13.10932022931673,-76.36727459575748
351849.6,8550582.54,-13.107435998512118,-76.3666530615027
351817.19,8550695.98,-13.106408909548227,-76.36694631476026
351615.95,8550707.89,-13.106291392064685,-76.36880173089703
351725.56,8550842.69,-13.105078160124052,-76.36778408124306
351113.22,8551067.93,-13.103011953213246,-76.37342028749678
351148.09,8551500.4,-13.09910412282333,-76.37307702067861
350841.27,8551098.07,-13.102726112469488,-76.37592689309642
350774.92,8551426.72,-13.099751842908582,-76.37652231000874
350869.25,8551639.03,-13.09783719778956,-76.37564168619558
350841.52,8551780.51,-13.096556850583204,-76.3758903251899
350552.34,8551170.87,-13.10205376361902,-76.37858794525228
