alerta_num,x,y,altitud,pendiente,dist_acequia,dist_rio,probabilidad,lat,lon
64,361105.9958760397,8549737.198317887,150.0,2.0682900365601222,217.5337057842069,585.0152717892986,0.65,-13.115516787788891,-76.28132007188123
65,351605.9958760397,8552237.198317887,42.0,2.6155216134963046,261.5200834069365,3258.9962940698747,0.64,-13.092465878806086,-76.36881715183615
66,376005.9958760397,8566537.198317887,472.0,3.809771118855444,18456.720547211724,254.39297045399863,0.64,-12.964277078511875,-76.14318785632602
67,345905.9958760397,8551487.198317887,6.0,2.0682900365601222,1671.6722451011617,448.3287827419078,0.64,-13.098961504424704,-76.42142282950746
68,366155.9958760397,8554187.198317887,228.0,1.8500955407727733,2922.937006132982,103.65588537009629,0.64,-13.075513896699796,-76.23454034459373
69,374805.9958760397,8565687.198317887,456.0,5.610798049337517,17021.32170951133,145.90797571373335,0.64,-12.971913033347288,-76.15428535528923
70,350605.9958760397,8550137.198317887,32.0,2.0682900365601222,706.2216840203708,1000.6042526087512,0.64,-13.1114008125484,-76.37814510320258
71,351705.9958760397,8549237.198317887,43.0,2.0682900365601222,33.693886909474735,453.9548007361692,0.64,-13.119590920387427,-76.36804473974689
72,371605.9958760397,8560837.198317887,468.0,30.27063903355697,11300.466591146813,478.5689253916213,0.63,-13.015628290315275,-76.18399265565553
73,350455.9958760397,8551487.198317887,34.0,2.6155216134963046,1110.960050051681,2341.2059956799244,0.63,-13.099189399575932,-76.37946057150921
74,358605.9958760397,8548687.198317887,132.0,2.773938865193209,156.46020184696536,521.193196413306,0.63,-13.124893336471557,-76.3044288650486
75,350905.9958760397,8547487.198317887,53.0,1.8500955407727733,190.8593811523698,1330.0121254464796,0.63,-13.135371623262149,-76.37551144472202
76,375105.9958760397,8563537.198317887,661.0,30.704195459359145,15700.184370349863,356.6314684773996,0.63,-12.991363204008788,-76.1516092594174
77,364205.9958760397,8551987.198317887,191.0,3.332703179996018,566.6731467321873,60.47367792802077,0.63,-13.095316385705576,-76.25262404132512
78,351755.9958760397,8549337.198317887,43.0,1.3084424638581322,132.41304199238357,563.3271463679524,0.62,-13.118689365923151,-76.36757857356511
79,375655.9958760397,8567687.198317887,512.0,11.042497680487337,18663.178745359404,130.86275024154062,0.62,-12.953865829596616,-76.14636672558531
80,357905.9958760397,8550037.198317887,177.0,14.915272649048088,226.9723247922404,155.16545796294955,0.62,-13.112656193209268,-76.31082084775205
81,367255.9958760397,8555237.198317887,320.0,19.523562889595333,4389.609854067879,308.49658609259103,0.62,-13.066069561723754,-76.22434908228557
82,343155.9958760397,8566637.198317887,320.0,22.3801380867527,6470.100404297789,5304.030956456712,0.61,-12.961867532385243,-76.4459890555017
83,342705.9958760397,8566787.198317887,327.0,23.502876060451168,6788.561338462279,5603.33896832786,0.61,-12.960488492214168,-76.45012894761012
84,349705.9958760397,8551137.198317887,27.0,2.773938865193212,827.7985572159631,2025.7547465437272,0.61,-13.10231629831657,-76.38639518897554
85,360805.9958760397,8549687.198317887,146.0,1.8500955407727733,230.8446296389102,636.2092798283478,0.61,-13.115955025415705,-76.28408947756897
86,364055.9958760397,8551887.198317887,189.0,2.6155216134963046,491.68710603727,78.11176523274378,0.61,-13.096213710857572,-76.25401204870117
87,351805.9958760397,8549387.198317887,43.0,1.3084424638581322,181.1478147548837,633.5841039583295,0.6,-13.118239812462903,-76.36711490888801
88,351855.9958760397,8549187.198317887,42.0,2.068290036560124,20.039324084659448,444.1909092363583,0.6,-13.12005026947836,-76.3666637318992
89,349405.9958760397,8549687.198317887,19.0,1.3084424638581322,386.73317291191694,659.9539429012605,0.6,-13.115409356570764,-76.38923553697047
90,375055.9958760397,8563587.198317887,621.0,33.06643167634788,15697.07376665512,326.59969737585806,0.59,-12.990909116595988,-76.15206814449249
91,350005.9958760397,8551037.198317887,28.0,2.923734619760068,912.3821561168872,1910.8498993738745,0.59,-13.10323516172207,-76.3836334421158
92,350305.9958760397,8547887.198317887,47.0,0.9252889610151418,348.9466426888721,1041.2953213060553,0.59,-13.1317259738678,-76.3810255819934
93,347905.9958760397,8549737.198317887,8.0,1.3084424638581322,954.441087443222,836.793615420225,0.59,-13.114882369442654,-76.40306762149628
94,350605.9958760397,8550087.198317887,32.0,1.8500955407727733,658.9625291966955,950.7700218176208,0.59,-13.111852812917562,-76.37814761994271
95,362455.9958760397,8550637.198317887,169.0,2.0682900365601222,448.2784342819601,316.56867818312026,0.59,-13.107442062436078,-76.26882655444562
96,346155.9958760397,8551337.198317887,6.0,2.0682900365601222,1380.2003293525786,547.021056433929,0.59,-13.100330181832629,-76.41912499896029
97,350705.9958760397,8550087.198317887,32.0,1.850095540772776,699.1270049163421,962.2578363024994,0.59,-13.111857744951608,-76.37722531597193
